40.0588744 -106.3889199	Kremmling,CO
36.2711901 -84.1949262	Vasper,TN
43.1367364 -75.2590545	Maynard,NY
47.3820427 -122.4831828	Magnolia Beach,WA
42.1406496 -72.1870226	Little Rest,MA
39.1358804 -86.5808317	Van Buren Park,IN
30.4221437 -86.6093973	Cinco Bayou,FL
39.1840612 -121.0818942	Sherwood Forest,CA
36.8156517 -82.78155	Oreton,VA
39.8816667 -85.9438889	Maplewood Mobile Home Park,IN
39.8029398 -121.4485797	Pulga,CA
39.6075994 -77.3024845	Rocky Ridge Estates,MD
36.7795052 -85.4519094	Leslie,KY
37.5583768 -91.7315403	Ranger,MO
45.0496428 -112.0019158	Reeder Place,MT
39.4487201 -76.2321774	Bush River Mobile Home Park,MD
37.7787395 -75.6810405	Lee Mont,VA
29.3094149 -96.3416326	New Taiton,TX
37.1981131 -94.2682777	Maxville,MO
42.9484049 -74.854595	Smith Corners,NY
32.6006881 -87.4780578	Coleman,AL
44.3683156 -100.3509665	Pierre,SD
33.9242827 -83.3526575	University Heights,GA
40.5434005 -80.3000616	Bocktown,PA
41.4569954 -84.1732815	Lueneburg,OH
38.0208297 -107.3770012	Henson,CO
40.6661743 -78.2191791	Nealmont,PA
42.9745189 -74.1509633	Hagaman,NY
46.3811111 -92.8236111	Sun-Bay Mobile Court and Camping,MN
40.2729 -75.3609	Summerwind,PA
28.8230452 -96.6174766	Vanderbilt,TX
33.8334346 -86.8013841	Linton,AL
32.4951413 -84.8743748	Sun Hill,GA
33.5620516 -96.4710974	Whiterock,TX
38.8386278 -93.2954855	Hughesville,MO
45.4366278 -91.5212741	Strickland,WI
35.8120122 -85.791928	Dibrell,TN
36.8856126 -88.5464347	Kaler,KY
32.5839958 -101.8401446	Sparenberg,TX
35.5745754 -81.5534254	Camp Creek,NC
38.3931058 -91.1923706	Noser Mill,MO
31.5496192 -84.1351849	Kalmon,GA
30.7649 -99.3764478	Streeter,TX
31.2598977 -90.5695447	Tangipahoa,MS
25.6339938 -80.4322774	Country Walk,FL
36.3207998 -121.2438138	Greenfield,CA
40.3564826 -75.7424139	Spangsville,PA
40.2694844 -85.7280325	Orestes,IN
41.1643881 -111.9188293	Bonneville Heights,UT
33.5306639 -96.7086039	Sperry,TX
31.9418253 -90.9834385	Holly Rood,MS
36.5332072 -77.3769173	Turners Crossroads,NC
35.1390347 -80.6850688	Homestead,NC
32.4173594 -86.2855247	Chisholm,AL
37.3182058 -77.890278	Scotts Fork,VA
42.2067051 -86.1666876	Hartford,MI
38.8844898 -88.5211595	Hord,IL
18.4488346 -66.1496111	Vista del Morro,PR
30.6457519 -95.1424378	Wolf Creek,TX
17.9746877 -67.0482331	Parguera,PR
46.3931999 -117.8968767	Whetstone,WA
29.7960399 -91.5015002	Franklin,LA
32.6101318 -86.674426	Vida,AL
31.9798388 -102.682652	Turnbaugh Corner,TX
35.0751647 -77.911372	Red Hill,NC
40.5912161 -73.9445822	Sheepshead Bay,NY
29.660212 -90.7656472	Allemand,LA
31.6635098 -94.0779721	McClelland,TX
36.0742367 -89.914254	Samford,MO
33.2484527 -91.6151237	Mount Pleasant,AR
34.207099 -79.8381186	Hoffmeyer Crossroads,SC
39.5247184 -96.2230566	Duluth,KS
40.7975643 -79.5786575	Center Hill,PA
43.7541347 -91.205134	Calvert,WI
40.779668 -111.9363268	Hanson,UT
40.0519392 -101.5318332	Merklin Trailer Court,NE
39.6339889 -77.1535941	Copperville,MD
34.6231156 -106.7778047	Pueblitos,NM
39.5335633 -112.3135554	Mack,UT
39.1675671 -83.2740769	Spellman Crossing,OH
43.6703594 -70.2842154	Woodfords Corner,ME
42.7169542 -89.0167781	Anderson,WI
28.1294543 -97.8697218	Lakeshore Gardens,TX
40.6402253 -111.8729902	Eastview,UT
42.0684257 -73.1595542	South Sandisfield,MA
38.6584477 -75.5774258	Kenmore Park,DE
32.6731889 -97.0152846	Florence Hill,TX
44.948658 -71.4525828	Stewartstown Hollow,NH
34.0047335 -118.4309115	Mar Vista,CA
33.4995805 -82.1359526	Smithwick,GA
37.3114567 -85.1691256	Feathersburg,KY
33.9243237 -80.3825814	Westhaven,SC
26.2403502 -98.3683503	Palm Acres Estates Colonia,TX
35.4418213 -79.1575224	Kendall Acres,NC
39.2978255 -90.6090117	Kampsville,IL
31.9462741 -95.8352401	Blackfoot,TX
42.1138889 -87.8386111	Mallard Creek,IL
45.3261111 -85.2333333	Lake Terrace Mobile Court,MI
34.8792893 -82.0128814	River Edge,SC
47.5296566 -114.2626223	Round Butte,MT
35.8434838 -78.6733372	Birchwood Hills Estates,NC
42.7295134 -76.3152098	Sempronius,NY
39.2864962 -76.5688542	Highlandtown,MD
39.8065016 -75.4968649	Buckingham Heights,DE
31.6481686 -106.2616468	Country Green Addition Colonia,TX
34.1493237 -79.7275626	Greenwood Estates,SC
36.3556611 -82.3609733	Brookmead,TN
29.7688493 -82.712619	Neals,FL
31.861272 -91.1998326	Rodney,MS
34.1134431 -83.0015324	Nickville,GA
45.9979065 -120.3006062	Bickleton,WA
30.3027384 -81.9753865	Baldwin,FL
36.1589971 -82.4034721	Rock Creek,TN
31.6570569 -106.3024812	Algodon Colonia,TX
31.3882229 -86.4180135	Straughn,AL
33.0209576 -85.1127181	Teaver Hill,GA
38.1274207 -120.8582703	Rancho Calaveras,CA
35.9095987 -78.0663778	Lamm Crossroads,NC
36.2528703 -83.2826708	Lakemoore,TN
31.5559998 -91.2489987	Fenwick,MS
34.7702833 -114.5960753	Parker Junction,CA
35.8906349 -84.1596376	Woodland Trace,TN
34.0048323 -90.7531561	Hushpuckena,MS
38.4495289 -82.327094	Lock,OH
39.7320387 -77.5030455	Buena Vista Springs,PA
33.1223452 -84.3899229	Jolly,GA
37.9762211 -81.2817734	Mossy,WV
33.9462263 -83.2845995	Windfall Heights,GA
42.5602775 -90.7756829	Durango,IA
36.2639483 -85.6085889	Center Grove,TN
41.4209409 -70.9292018	Cuttyhunk,MA
32.9156796 -86.7158178	Thorsby,AL
48.3658319 -100.1062461	Tunbridge,ND
40.1092716 -75.5276937	Pickering,PA
30.4232944 -81.5989832	Eastport,FL
44.3897794 -72.2512113	East Cabot,VT
39.0950527 -85.7474764	Tannersville,IN
33.9845988 -80.4825837	Shaw Heights,SC
38.087614 -80.8139825	Nutterville,WV
44.0383915 -73.2131745	Weybridge Hill,VT
41.3478134 -90.280401	Osco,IL
40.4292359 -79.985886	South Side Flats,PA
39.8955918 -87.6519669	Ridge Farm,IL
46.3108333 -95.5341667	Woodland Park,MN
39.9758 -75.5757	Suburban Village,PA
33.6723506 -82.8612563	Tyrone,GA
39.4803621 -80.2734176	Carolina,WV
31.7553872 -106.3816511	Alfalfa,TX
33.3726402 -82.0320618	Gracewood,GA
38.5958404 -97.8047656	Mackie,KS
33.8698295 -88.1028093	Moscow,AL
36.8031131 -85.6424703	Persimmon,KY
35.7757072 -78.6508369	Boylan Heights,NC
42.7503644 -71.8370204	Bank,NH
33.759271 -96.6694402	Pottsboro,TX
26.1722969 -98.0863957	Koenig Winter Resort Colonia,TX
37.430364 -83.9979834	McKee,KY
38.3767527 -82.2868139	Martha,WV
39.1728866 -76.5185737	Stony Beach,MD
36.8201026 -82.3759797	Sunny Point,VA
39.1123348 -75.7443761	Marydel,DE
42.2708716 -83.7263294	Ann Arbor,MI
38.0763092 -122.2399692	Carquinez Heights,CA
38.3853995 -76.1421633	Blackwater,MD
42.7011151 -89.8670679	Argyle,WI
37.4556049 -94.689127	Frontenac,KS
31.1560499 -82.428467	Needham,GA
36.8109827 -77.4899806	Magnums Mobile Home Park,VA
39.1862178 -77.0205332	Brighton Knolls,MD
47.5206529 -122.5195759	Harper,WA
18.1907908 -66.3098913	Reparto Colinas de Monte Verde,PR
33.2867851 -84.7677112	Moreland,GA
44.0878519 -69.7725454	West Dresden,ME
41.8487689 -121.4099902	Liskey,CA
33.6873188 -99.0231239	Fulda,TX
33.0812343 -85.0485499	Waterford Place,GA
43.9918247 -117.7090762	Westfall,OR
44.321077 -92.0015541	Midland Junction,MN
30.0563252 -94.2774081	Pine Island,TX
18.3763386 -65.7934966	Carola,PR
39.1134458 -75.5418687	Camden,DE
42.8880517 -97.1722732	Gayville,SD
46.9859679 -119.7917119	Low Gap,WA
40.120388 -74.8687761	Margo Gardens,PA
28.6272034 -99.8333881	Espantosa Colonia,TX
39.7065005 -75.7288228	Milford Meadows,DE
43.2492477 -71.399791	Chichester,NH
32.6954075 -86.0502424	Falkner,AL
31.3518348 -97.6375185	Mound,TX
33.1762794 -80.1006418	Tuckertown,SC
32.4612565 -92.0873561	Green Terrace,LA
40.1775724 -79.325312	Mansville,PA
38.1608979 -86.370533	Artist Point,IN
43.6820151 -72.2948132	East Wilder,NH
31.7068314 -96.7677683	Delia,TX
41.0161098 -96.1566803	Meadow,NE
33.0240415 -82.6473548	Halls Crossing,GA
40.9519738 -91.5640494	Mardan Mobile Home Court,IA
35.7826516 -78.7069489	Kent Garden,NC
40.5719404 -101.9785158	Lamar,NE
42.6079647 -113.7833506	Paul,ID
39.1514964 -76.9449757	Holly House,MD
42.5962252 -123.5861809	Rand,OR
34.4449952 -118.657589	Val Verde,CA
27.9836329 -82.2756468	Seffner,FL
42.2875887 -72.891209	Littleville,MA
33.7040032 -90.6414826	Halstead,MS
37.8728267 -87.1069424	Spencer County Farm,IN
41.6273231 -71.4925595	Frenchtown,RI
32.8979094 -84.4038093	Sunset Village,GA
28.6988853 -81.3081226	Winter Springs,FL
18.3882798 -67.1899032	Comunidad Palmar Novoa II,PR
35.7459033 -85.8574849	Daylight,TN
30.1746548 -97.8391726	Tanglewood Forest,TX
40.1436513 -92.0093419	Knox City,MO
37.0298687 -76.3452218	Hampton,VA
36.1711773 -90.1231508	Octa,MO
36.1050722 -92.6296083	Caney,AR
38.7265702 -121.6913508	King Farms,CA
48.3988889 -93.5555556	Merkling's Trailer Court,MN
38.4322389 -94.3474487	Crescent Hill,MO
33.0159576 -85.1188293	West Wyngate,GA
31.5812057 -110.1420227	Lewis Springs,AZ
27.8578019 -82.7337119	Cross Bayou,FL
31.3865622 -89.1231127	Tallahala,MS
30.4090804 -90.9987132	Shenandoah Ridge,LA
38.489543 -81.2753947	Corton,WV
41.0398192 -73.5370672	South End,CT
26.1303537 -97.973336	R C Babb Colonia,TX
40.0878557 -78.9608584	Reading Number Three,PA
39.8461878 -79.9350549	Mount Sterling,PA
34.338149 -84.3765909	Ball Ground,GA
40.6813356 -111.9693824	Sunnygrove,UT
36.5808901 -85.7813663	Hermitage Springs,TN
40.4375692 -79.9825527	Soho,PA
33.032069 -90.9120461	Sago,MS
33.7877948 -117.8094995	El Modena,CA
45.6895059 -67.8902904	Cropley Turn,ME
40.288426 -75.8546458	Lorane,PA
43.5060862 -90.668186	Viola,WI
41.3687033 -74.9035014	Sagamore Estates,PA
36.8807045 -76.5818967	Wills Corner,VA
48.7601141 -122.2021027	Clipper,WA
44.3127722 -87.7745345	Cooperstown,WI
38.8181063 -90.4870629	Elm Point,MO
37.6814039 -97.2022646	Linwood Acres,KS
41.6164386 -83.4860431	Mound View,OH
40.6467261 -82.3526625	Richland Cottage Area,OH
40.5445045 -82.5404445	Palmyra,OH
33.6567066 -112.0518165	Desert Bell Estates II,AZ
33.1878927 -96.2152547	Wagner,TX
33.506505 -88.0941938	Shaw,AL
18.3449508 -66.1432224	Villa Verde,PR
41.8814197 -87.883117	Bellwood,IL
33.5261929 -105.4402595	Double Crossing,NM
33.6492756 -85.0496668	Abilene,GA
37.0973198 -82.8437714	Dongola,KY
41.3140735 -116.2217565	Tuscarora,NV
39.4392566 -79.7558932	Howesville,WV
33.0922784 -111.6862425	Olberg,AZ
41.0136749 -79.5367121	New Athens,PA
33.8362835 -78.6608485	Robbers Roost Villas,SC
35.3717148 -100.502908	Kellerville,TX
37.0831971 -79.7500315	Crossroads,VA
39.4336647 -84.7610636	Reily,OH
39.4783912 -84.3902201	Oneida,OH
40.4606244 -80.0764442	Chartiers,PA
39.9078536 -79.6880982	Evans,PA
34.5053779 -88.7292226	Bethany,MS
37.6794476 -106.4589276	Hanna,CO
32.7369966 -116.9855821	Bancroft Point,CA
45.20811 -69.0836519	South Sebec,ME
41.5069759 -90.680696	Hometown Lakeside Mobile Home Park,IA
39.6256653 -76.1232846	Port Heights,MD
38.9797141 -105.3574944	Lake George,CO
35.2340214 -81.3981407	White Plains,NC
40.3981646 -74.0198611	Stone Church,NJ
38.5459461 -75.1621296	Blackwater,DE
38.9315024 -76.3588444	Chesapeake Estates,MD
39.2848272 -77.0197008	Green Meadows,MD
18.0085769 -66.6154505	Liceo Ponceno,PR
35.8934716 -79.4300199	Snow Camp,NC
30.5693555 -91.3189988	Alfords,LA
41.2077218 -111.9502187	Iliff College Hill,UT
33.7867732 -84.5999331	Camerons Crossing,GA
34.5897904 -105.2861133	Tejon,NM
18.1741113 -67.1728244	San José,PR
42.9855403 -95.8736256	Granville,IA
33.0918155 -82.2265113	Gough,GA
26.3806323 -80.1597673	Boca West,FL
36.8862308 -81.1920399	Crockett,VA
32.7060119 -80.1778746	New Cut Landing,SC
40.6745095 -79.5939349	Forks Church,PA
36.6705808 -103.7744053	Grande,NM
39.3892679 -77.5869335	Broad Run Acres,MD
44.1373003 -69.370601	Feylers Corner,ME
44.9025466 -72.63818	Montgomery,VT
40.6482806 -111.8949355	Emerald Isle,UT
34.6293372 -78.6052899	Elizabethtown,NC
40.0097703 -84.7919041	Glen Karn,OH
38.4608874 -90.4284534	Paulina Hills,MO
40.7070471 -73.90347	Fresh Pond,NY
60.115 -162.5063889	Kuskovak,AK
38.9217794 -76.6185749	Ashley,MD
47.4740945 -115.9279387	Wallace,ID
38.7003899 -75.0826808	Anne Acres,DE
38.5156802 -77.9705521	Ridgelea,VA
35.8884162 -83.9376829	Crenshaw,TN
33.2090045 -86.8208217	Scottsdale,AL
40.7743904 -111.8732692	The Avenues Condominium,UT
44.8958723 -73.5493058	Sciola,NY
27.8730807 -81.0061745	Whittier,FL
37.7400508 -89.4425939	Sand Ridge,IL
40.8949449 -111.9091053	Marlinda West,UT
42.4858692 -83.1052028	Madison Heights,MI
40.0223342 -75.1446209	Wyoming,PA
30.3079732 -90.5878679	Carthage Bluff Landing,LA
38.8695565 -77.1555355	Buffalo Hills,VA
32.3101402 -86.2530224	Valley Whispers,AL
32.2590284 -98.1430954	Knob Hill,TX
35.8797876 -86.0358225	Pleasant Ridge,TN
41.6741823 -91.5751696	Coral Trailer Park,IA
32.3206947 -87.3161068	Brookwood,AL
30.0104799 -90.0367375	Gentilly Woods,LA
41.7733739 -86.7975279	Grand Beach,MI
18.4018927 -66.1615557	Sierra Bayamon,PR
36.8957039 -77.8258289	Warfield,VA
39.3751619 -122.5441551	Stonyford,CA
38.2272929 -85.7082949	Highlands,KY
41.254665 -111.8699396	Wildwood,UT
42.5442251 -79.1667066	Silver Creek,NY
41.7619073 -108.9667842	South Superior,WY
41.2781425 -75.367405	Angels,PA
37.7856862 -79.5892087	Collierstown,VA
34.5634203 -86.1902596	Swearengin,AL
38.7067401 -83.6476959	Paradise Hills,OH
31.9415576 -94.9596616	New Salem,TX
29.7596514 -91.4284423	Centerville,LA
44.3850608 -71.4220239	Jefferson Highland,NH
34.3290432 -79.8914524	Earlwood Park,SC
34.7948222 -95.0135703	Lamberson,OK
43.6346913 -91.4968076	Caledonia Mobile Home Park,MN
41.0866106 -111.9938312	Camelot,UT
35.5451639 -76.8454969	Boyds Fork,NC
37.398829 -122.1346859	Alta Mesa,CA
41.7578769 -72.8862121	Unionville,CT
39.6653735 -77.7219377	Hamilton Park,MD
40.5839291 -90.425683	Manley,IL
40.9414527 -79.9620004	Unionville,PA
35.9242477 -94.1885387	West Fork,AR
31.552317 -110.363136	Cavalay Park,AZ
35.3181818 -81.6606513	Lattimore,NC
42.4550021 -97.4700604	Magnet,NE
33.9545463 -84.5427103	Fort Hill Homes,GA
41.1571661 -111.9360519	Uintah Village,UT
44.1680187 -93.282992	Lazy U Mobile Home Park,MN
30.0652201 -96.6960867	Round Top,TX
46.8005404 -98.7398256	Kloze,ND
40.8842653 -72.9373262	Middle Island,NY
30.4199203 -92.0465087	Grand Coteau,LA
34.1218167 -81.1517607	Raintree Acres,SC
40.2258782 -90.7631859	Brooklyn,IL
40.1159081 -79.1753083	Laurel Summit,PA
36.2095132 -92.284323	Norfork,AR
32.8884693 -92.3970879	Conway,LA
18.4413352 -66.7143416	Oriente,PR
42.9789628 -74.2812443	Church Corners,NY
